"","gamma","std.err"
"2021-04-30",0,0
"2021-05-01",-1.64168175483117,0.180568092153503
"2021-05-02",-1.9724184052039,0.222134047994161
"2021-05-03",-1.70059188001516,0.246456495944635
"2021-05-04",-1.4241724596723,0.268838918560844
"2021-05-05",-1.18274641531083,0.290464680103035
"2021-05-06",-0.99830973425443,0.311204878238641
"2021-05-07",-0.00920302691390595,0.303910560313782
"2021-05-08",0.119623284806144,0.225386172247508
"2021-05-09",-0.301023761590633,0.218178475512277
"2021-05-10",-0.0889004950422761,0.214064310413645
"2021-05-11",0.187150124549015,0.212370727219685
"2021-05-12",-0.0478452915987442,0.212116404984357
"2021-05-13",-0.089285571533284,0.211978131122024
"2021-05-14",0.10576307470631,0.210143942194557
"2021-05-15",0.00276139917106157,0.203869533346888
"2021-05-16",-0.278946583962038,0.201305073873699
"2021-05-17",0.13172840917049,0.199971779867678
"2021-05-18",0.240184617883272,0.199508209121678
"2021-05-19",-0.130920564269028,0.199475786554669
"2021-05-20",0.186891333110783,0.19935314520744
"2021-05-21",-0.0223726836288571,0.198513712731828
"2021-05-22",-0.0734849391351434,0.196173570906707
"2021-05-23",-0.0124023354354096,0.194861377376998
"2021-05-24",0.120898377463979,0.194207384572154
"2021-05-25",-0.0863594058077239,0.193998005452572
"2021-05-26",-0.0542502528068915,0.193989503293195
"2021-05-27",-0.0340941176758246,0.19390631376739
"2021-05-28",0.193022489403583,0.193434792775837
"2021-05-29",-0.197460610697941,0.192210069815752
"2021-05-30",0.103316319743114,0.191413443631245
"2021-05-31",0.0623548570125511,0.191025919050674
"2021-06-01",0.177172492806327,0.19090781860444
"2021-06-02",-0.22222800954369,0.19090468321437
"2021-06-03",0.0214753565294467,0.190846614003097
"2021-06-04",0.0836662132358947,0.190545893716887
"2021-06-05",0.106215223795724,0.189792242587326
"2021-06-06",0.169157122874093,0.189257371753249
"2021-06-07",-0.0539012151006652,0.189001246779761
"2021-06-08",0.109864107039478,0.188925713616129
"2021-06-09",0.0115243409809858,0.188924299782236
"2021-06-10",0.128998633733285,0.188881907787959
"2021-06-11",-0.0554828953601867,0.188673722252793
"2021-06-12",0.0517277708812866,0.188163098225938
"2021-06-13",0.225108407836206,0.187779227304705
"2021-06-14",-0.120916735547357,0.187597431959093
"2021-06-15",0.00736269550328136,0.187545063247767
"2021-06-16",-0.10893854201611,0.187544334903416
"2021-06-17",0.211916151571266,0.187512162929205
"2021-06-18",-0.0140541352147149,0.187359595485477
"2021-06-19",0.0598656248799555,0.18699073368469
"2021-06-20",-0.132779003250469,0.186701849489407
"2021-06-21",-0.0425301251954647,0.186566155792211
"2021-06-22",-0.0038145138558211,0.186527750178889
"2021-06-23",0.115451211117628,0.18652733764953
"2021-06-24",-0.0301972215831861,0.186502139379869
"2021-06-25",0.127378530247527,0.186385566896655
"2021-06-26",0.165750705792613,0.18610661372949
"2021-06-27",-0.0632349861951478,0.185881351451087
"2021-06-28",-0.0144068062417151,0.185776208905376
"2021-06-29",0.137318590035415,0.185746855733173
"2021-06-30",0.104124611611451,0.185746604884375
"2021-07-01",-0.0353400940467941,0.185726357364087
"2021-07-02",0.100643876747107,0.185634402762363
"2021-07-03",0.126226963826329,0.185416050268309
"2021-07-04",0.115968730454202,0.18523548189895
"2021-07-05",-0.0168392678812671,0.185151622856401
"2021-07-06",0.0805387902659108,0.185128467274434
"2021-07-07",-0.0436090692035812,0.185128306084254
"2021-07-08",0.137771364502082,0.185111691892262
"2021-07-09",-0.0161958459891171,0.185037310126651
"2021-07-10",0.0507465338742547,0.184861742140651
"2021-07-11",0.0499294602818774,0.184713769192226
"2021-07-12",0.112950772178526,0.184645328387754
"2021-07-13",0.00224772457333261,0.184626599387111
"2021-07-14",-0.0191327579794765,0.184626491135263
"2021-07-15",0.106485853264316,0.184612618666175
"2021-07-16",-0.035245227860486,0.184551216200525
"2021-07-17",0.114501175341209,0.184406977981363
"2021-07-18",0.0374887876454526,0.184283506566677
"2021-07-19",-0.00950600458373002,0.184226591638077
"2021-07-20",0.0525448532872222,0.184211133106914
"2021-07-21",-0.0644207026707029,0.184211057733899
"2021-07-22",0.119401052308387,0.184199303332387
"2021-07-23",-0.0562233932835834,0.184147758049897
"2021-07-24",0.0727748155274144,0.184027149378866
"2021-07-25",-0.166824914143229,0.212898107479937
"2021-07-26",-0.140788956931347,0.212951805991152
"2021-07-27",-0.0515797847085338,0.213188423958674
"2021-07-28",0.00711238165075172,0.213252899220005
"2021-07-29",0.00711238165075172,0.278932552095291
"2021-07-30",0.00711238165075172,0.331858310444454
"2021-07-31",0.00711238165075172,0.377434110546069
