"","delta","std.err"
"2021-04-30",-2.96456285444099,0.0138365502213389
"2021-05-01",-5.74467183833188,0.023245868355955
"2021-05-02",-8.1889211484962,0.0810491891018495
"2021-05-03",-9.51991213257583,0.123172814922349
"2021-05-04",-10.401630274597,0.170581386318449
"2021-05-05",-10.9684461509995,0.230378698635701
"2021-05-06",-11.4456178174189,0.303720682743062
"2021-05-07",-8.48750070911362,0.303910590435224
"2021-05-08",-8.2390511572763,0.135913265581098
"2021-05-09",-8.70833500042486,0.134600008804446
"2021-05-10",-8.70871135094623,0.133464123170606
"2021-05-11",-8.40633945110628,0.127958079073768
"2021-05-12",-8.54908720558201,0.121020595239071
"2021-05-13",-8.65424396545679,0.118015304623935
"2021-05-14",-8.47734506013003,0.11770434841399
"2021-05-15",-8.51203881410531,0.0961052410136576
"2021-05-16",-8.85727029445726,0.0955026777108467
"2021-05-17",-8.62683278414724,0.0949542248687932
"2021-05-18",-8.36072738324435,0.0924773118798407
"2021-05-19",-8.57823997537857,0.0896280248577422
"2021-05-20",-8.31947519580581,0.0886279310624366
"2021-05-21",-8.38809023018158,0.0883146475514319
"2021-05-22",-8.47293366843425,0.0784696579090672
"2021-05-23",-8.4751554645382,0.0781055195905389
"2021-05-24",-8.3317299104993,0.0777658747821755
"2021-05-25",-8.45291182033889,0.0762812315251461
"2021-05-26",-8.50186470970523,0.0746395477118823
"2021-05-27",-8.53270559286163,0.0741146277840998
"2021-05-28",-8.3035598263542,0.0738767652874648
"2021-05-29",-8.56349871896737,0.0679567704000339
"2021-05-30",-8.42137196644408,0.0677064637790377
"2021-05-31",-8.36435664821163,0.0674696167480269
"2021-06-01",-8.17229593701602,0.0664535981552305
"2021-06-02",-8.44556396301267,0.0653546735307876
"2021-06-03",-8.39346568316719,0.0650214069310043
"2021-06-04",-8.30206732300428,0.0648389315012292
"2021-06-05",-8.1930336173096,0.0607824321793801
"2021-06-06",-8.01725088217371,0.060596833661021
"2021-06-07",-8.09482125550275,0.0604195481245385
"2021-06-08",-7.96766154036155,0.0596682735095153
"2021-06-09",-7.9663977964153,0.0588670993855245
"2021-06-10",-7.82530830398128,0.0586322859030719
"2021-06-11",-7.89962167785012,0.0584879437193153
"2021-06-12",-7.83689771253706,0.0554865606001984
"2021-06-13",-7.59637712042016,0.0553418738284561
"2021-06-14",-7.74825558864572,0.0552027401670021
"2021-06-15",-7.72946313852055,0.054618180015799
"2021-06-16",-7.84865735259571,0.0540008826976414
"2021-06-17",-7.60877092849027,0.0538242283132518
"2021-06-18",-7.64239057169296,0.053706799123864
"2021-06-19",-7.57609699684073,0.0513706152903286
"2021-06-20",-7.72369530500355,0.0512537296584528
"2021-06-21",-7.7592443484782,0.0511407685857036
"2021-06-22",-7.76007548304458,0.0506691801012389
"2021-06-23",-7.63551643881693,0.0501747614688857
"2021-06-24",-7.67672665959667,0.0500357444616181
"2021-06-25",-7.53750139316463,0.049937963800072
"2021-06-26",-7.36885452132673,0.0480528502193937
"2021-06-27",-7.44761447822239,0.0479558707723103
"2021-06-28",-7.45869487574231,0.0478617853302892
"2021-06-29",-7.31107525599049,0.0474709194886785
"2021-06-30",-7.20918622077775,0.0470633902095214
"2021-07-01",-7.25383766192358,0.0469503471292485
"2021-07-02",-7.14415981019769,0.0468673652901545
"2021-07-03",-7.0162271537407,0.045304699186448
"2021-07-04",-6.90087998841271,0.0452225504308772
"2021-07-05",-6.92580300220264,0.0451426077748386
"2021-07-06",-6.83935571336007,0.0448117870120615
"2021-07-07",-6.89044329696183,0.0444683666744447
"2021-07-08",-6.74183032506313,0.0443741251576723
"2021-07-09",-6.76718902429327,0.0443025917855812
"2021-07-10",-6.71244579966214,0.0429798471189948
"2021-07-11",-6.66256110738742,0.0429090980165729
"2021-07-12",-6.54614358503532,0.0428400760586236
"2021-07-13",-6.54996754732838,0.0425553509370497
"2021-07-14",-6.57026535230815,0.0422608267761077
"2021-07-15",-6.45698258240044,0.0421807062056108
"2021-07-16",-6.49986667960279,0.0421182327220596
"2021-07-17",-6.37727080625217,0.0409797103904511
"2021-07-18",-6.3436328538692,0.0409179472401174
"2021-07-19",-6.35549707432749,0.0408575661775296
"2021-07-20",-6.29984724173457,0.0406091394664576
"2021-07-21",-6.37008565878032,0.0403529144006167
"2021-07-22",-6.24159922423983,0.0402837150624325
"2021-07-23",-6.30647195635658,0.0402285508258044
"2021-07-24",-6.2273263114152,0.0392351182548903
"2021-07-25",-6.40516763395157,0.118806086360688
"2021-07-26",-6.53597880253982,0.152484568197778
"2021-07-27",-6.54892851603088,0.171245752578279
"2021-07-28",-6.51717831651819,0.186830824325825
"2021-07-29",-6.51006593486743,0.323736055067413
"2021-07-30",-6.50295355321668,0.545879544796363
"2021-07-31",-6.49584117156593,0.824073557598469
