"","fit","lower","upper"
"2021-04-30",0.051583013602489,0.051583013602489,0.051583013602489
"2021-05-01",-1.63848197040521,-1.8180493331034,-1.45891460770701
"2021-05-02",-1.97214069186977,-2.19304364702686,-1.75123773671268
"2021-05-03",-1.70051850390372,-1.94560910916412,-1.45542789864333
"2021-05-04",-1.42414207676218,-1.69149105863859,-1.15679309488576
"2021-05-05",-1.18272917820447,-1.47158406912693,-0.893874287282002
"2021-05-06",-0.99829903800948,-1.30777918246723,-0.688818893551732
"2021-05-07",-0.00899699937397264,-0.311223251868706,0.293229253120761
"2021-05-08",0.119887419559075,-0.104249636198931,0.34402447531708
"2021-05-09",-0.30085855850195,-0.51782786342182,-0.0838892535820804
"2021-05-10",-0.0887353541161636,-0.301613295120872,0.124142586888545
"2021-05-11",0.18737357084681,-0.0238201729997938,0.398567314693413
"2021-05-12",-0.0476515697516448,-0.258592400846451,0.163289261343161
"2021-05-13",-0.0891111863425231,-0.299914509904891,0.121692137219845
"2021-05-14",0.10597120525023,-0.103008094673922,0.314950505174382
"2021-05-15",0.00296243270785483,-0.199777231875251,0.205702097290961
"2021-05-16",-0.278804240872994,-0.478993658516815,-0.0786148232291723
"2021-05-17",0.131907640582214,-0.0669558723266842,0.330771153491112
"2021-05-18",0.240418492039015,0.0420159807129016,0.438821003365128
"2021-05-19",-0.130732408423955,-0.329102676872712,0.0676378600248023
"2021-05-20",0.187135056848691,-0.0111132499455061,0.385383363642888
"2021-05-21",-0.0221451221752218,-0.219558648726624,0.175268404376181
"2021-05-22",-0.0732758884177396,-0.268362242483322,0.121810465647843
"2021-05-23",-0.0121937486704804,-0.205975181536147,0.181587684195186
"2021-05-24",0.121139132663462,-0.0719919319018653,0.314270197228788
"2021-05-25",-0.0861461273260172,-0.279068973175296,0.106776718523262
"2021-05-26",-0.0540471634937988,-0.246961554303661,0.138867227316063
"2021-05-27",-0.0338971962166001,-0.226728858546725,0.158934466113525
"2021-05-28",0.193270123126721,0.000907368563744682,0.385632877689697
"2021-05-29",-0.197269660654915,-0.388414479815486,-0.00612484149434331
"2021-05-30",0.103536432201784,-0.0868161757696339,0.293889040173201
"2021-05-31",0.0625878839153957,-0.127379347181935,0.252555115012727
"2021-06-01",0.1774548617766,-0.0123949234009624,0.367304646954163
"2021-06-02",-0.222013158150441,-0.411859825314632,-0.0321664909862497
"2021-06-03",0.0217016980190538,-0.168087221760215,0.211490617798323
"2021-06-04",0.0839142168291419,-0.105575649290864,0.273404082949148
"2021-06-05",0.10649179738761,-0.0822485944254139,0.295232189200634
"2021-06-06",0.169486848105586,-0.0187216371899915,0.357695333401163
"2021-06-07",-0.0535960999335418,-0.241549879730147,0.134357679863064
"2021-06-08",0.11021059532762,-0.0776680699189683,0.298089260574207
"2021-06-09",0.0118712674184003,-0.176005991829927,0.199748526666728
"2021-06-10",0.129398129134578,-0.0584369730608558,0.317233231330012
"2021-06-11",-0.0551120115326992,-0.242740081981517,0.132516058916118
"2021-06-12",0.0521226630928039,-0.134997613267151,0.239242939452759
"2021-06-13",0.225610675633172,0.0388721427369723,0.412349208529372
"2021-06-14",-0.120485240958853,-0.307042986040478,0.0660725041227716
"2021-06-15",0.00780237560434173,-0.178703290999472,0.194308042208156
"2021-06-16",-0.108548266396928,-0.295053208692961,0.077956675899104
"2021-06-17",0.212412232774476,0.0259392841518165,0.398885181397135
"2021-06-18",-0.0135744548447102,-0.199895681570233,0.172746771880813
"2021-06-19",0.0603781827189009,-0.125576226481015,0.246332591918817
"2021-06-20",-0.132336779820086,-0.318003905854667,0.0533303462144954
"2021-06-21",-0.0421033462404289,-0.227635530608133,0.143428838127275
"2021-06-22",-0.00338808946416166,-0.188882081066937,0.182105902138614
"2021-06-23",0.115934200233585,-0.0695593811261172,0.301427781593287
"2021-06-24",-0.0297337320056258,-0.215202254747421,0.155734790736169
"2021-06-25",0.127911257283205,-0.0574413390336917,0.313263853600103
"2021-06-26",0.166381295885667,-0.0186938932550977,0.351456485026431
"2021-06-27",-0.0626521558856005,-0.247503331177817,0.122199019406616
