"","level.t.t","lower","upper"
"2021-02-01",1,1,1
"2021-02-02",-1.08489934963149,-1.12776513576705,-1.04203356349593
"2021-02-03",-1.879520506553,-1.93116109898408,-1.82787991412192
"2021-02-04",-1.84785118139562,-1.89336968464954,-1.80233267814169
"2021-02-05",-1.61540125660903,-1.65437535551177,-1.57642715770629
"2021-02-06",-1.42987383018171,-1.46474440669881,-1.39500325366461
"2021-02-07",-1.26454542135448,-1.29734183354021,-1.23174900916876
"2021-02-08",-1.0557460116803,-1.08777321481527,-1.02371880854534
"2021-02-09",-0.0458923213630008,-0.0933265629142297,0.00154192018822812
"2021-02-10",-0.0344579310505914,-0.0732954191575846,0.0043795570564019
"2021-02-11",-0.0253277640007931,-0.0615540164799999,0.0108984884784137
"2021-02-12",-0.0287536126072984,-0.0640168692177313,0.00650964400313441
"2021-02-13",-0.0341074322195962,-0.0690064197716545,0.000791555332462036
"2021-02-14",-0.0411066491940606,-0.075872395587351,-0.00634090280077025
"2021-02-15",-0.0405099923056321,-0.0752294988685263,-0.00579048574273787
"2021-02-16",-0.0415334630737635,-0.0755509327648313,-0.00751599338269566
"2021-02-17",-0.0397541180750709,-0.0736620694522058,-0.00584616669793596
"2021-02-18",-0.0431525973975296,-0.0770594336334502,-0.00924576116160897
"2021-02-19",-0.0399207225113446,-0.0738092362534648,-0.0060322087692243
"2021-02-20",-0.0368182310808188,-0.0706606691218234,-0.00297579303981418
"2021-02-21",-0.0375619432676302,-0.0713503784208844,-0.00377350811437602
"2021-02-22",-0.0361007052574531,-0.0698444644894203,-0.00235694602548578
"2021-02-23",-0.0387684711270009,-0.0724423891544775,-0.00509455309952444
"2021-02-24",-0.029579505816413,-0.0632525599437058,0.00409354831087978
"2021-02-25",-0.0356771127065722,-0.0693394638520431,-0.00201476156110126
"2021-02-26",-0.0371714995051882,-0.0708069440232011,-0.00353605498717523
"2021-02-27",-0.0362230810869893,-0.0698279503836902,-0.00261821179028833
"2021-02-28",-0.0396183523311753,-0.0731994038451731,-0.00603730081717749
"2021-03-01",-0.0365141081849422,-0.0700814312829545,-0.00294678508692977
"2021-03-02",-0.0293842516322355,-0.0628928524433433,0.00412434917887242
"2021-03-03",-0.0309089809932958,-0.0644129540604629,0.0025949920738712
"2021-03-04",-0.0296827577660036,-0.0631856815817836,0.00382016604977636
"2021-03-05",-0.0156675281709071,-0.0491640554313902,0.0178289990895761
"2021-03-06",-0.0134564955718555,-0.0469446811395392,0.0200316899958281
"2021-03-07",-0.00542069779796677,-0.0389024911608314,0.0280610955648978
"2021-03-08",-0.00612517033813069,-0.0396037669205762,0.0273534262443148
"2021-03-09",-0.0010728826115125,-0.0345027332801962,0.0323569680571712
"2021-03-10",-0.00486543274110915,-0.0382898907810968,0.0285590252988785
"2021-03-11",-0.00631324274443842,-0.0397375335682242,0.0271110480793474
"2021-03-12",-0.00664517681657079,-0.0400664042756945,0.026776050642553
"2021-03-13",-0.0028301839751808,-0.0362468557033216,0.03058648775296
"2021-03-14",-0.0154461184435006,-0.0488591282546299,0.0179668913676288
"2021-03-15",-0.010854411104454,-0.0442655517801234,0.0225567295712154
"2021-03-16",-0.00879589788522517,-0.0421731088559767,0.0245813130855264
"2021-03-17",-0.00428431360235797,-0.0376580173752795,0.0290893901705635
"2021-03-18",-0.00185701871241183,-0.0352305291267117,0.031516491701888
"2021-03-19",0.000752421270752153,-0.0326186337377888,0.0341234762792931
"2021-03-20",0.00406585288786671,-0.029301670469516,0.0374333762452495
"2021-03-21",0.00400223399573296,-0.0293624729137906,0.0373669409052565
"2021-03-22",-0.0432710598786522,-0.0766343208817023,-0.00990779887560223
"2021-03-23",-0.0216093927751285,-0.0549483004793834,0.0117295149291263
"2021-03-24",-0.0039521800728321,-0.0372887295453257,0.0293843693996615
"2021-03-25",-0.000533093289175886,-0.0338694442344034,0.0328032576560516
"2021-03-26",0.000104085292617574,-0.0332303032014398,0.0334384737866749
"2021-03-27",-0.0000128309639790924,-0.0333444882545447,0.0333188263265865
"2021-03-28",0.00701215936496962,-0.0263173566186579,0.0403416753485971
"2021-03-29",0.0152198990270005,-0.0181085352758665,0.0485483333298676
"2021-03-30",0.010009017859502,-0.02330081334659,0.0433188490655941
"2021-03-31",0.0069250932864632,-0.0263829739647801,0.0402331605377065
"2021-04-01",-0.000170519959975136,-0.0334784206564218,0.0331373807364715
